"","key","Drift_Initial","Kelp_Initial","Drift_Consumed","Drift_Remaining","Kelp_Remaining","Urchins"
"11","1_1_1","18","135","13","5","2","20"
"35","1_1_2","35","25","31","4","10","20"
"43","1_1_3","40","60","35","5","30","20"
"59","1_1_4","40","60","38","2","30","20"
"3","1_2_1","20","335","10","10","280","20"
"33","1_2_2","35","250","33","2","150","20"
"49","1_2_3","45","200","40","5","150","20"
"72","1_2_4","25","130","23","2","125","20"
"13","2_1_1","40","80","30","10","35","20"
"22","2_1_2","50","55","45","5","15","20"
"40","2_1_3","70","40","60","10","20","20"
"63","2_1_4","75","40","50","25","25","20"
"2","2_2_1","40","250","10","30","170","20"
"36","2_2_2","60","225","53","7","185","20"
"37","2_2_3","70","145","65","5","110","20"
"74","2_2_4","65","170","50","15","170","20"
"5","3_1_1","55","50","50","5","35","20"
"17","3_1_2","95","70","55","40","45","20"
"47","3_1_3","105","60","70","35","60","20"
"71","3_1_4","100","25","60","40","25","20"
"9","3_2_1","60","320","42","18","240","20"
"32","3_2_2","110","270","65","45","270","20"
"51","3_2_3","95","195","80","15","195","20"
"67","3_2_4","95","145","55","40","135","20"
"6","4_1_1","90","35","50","40","30","20"
"19","4_1_2","140","65","55","85","60","20"
"38","4_1_3","135","40","65","70","40","20"
"69","4_1_4","135","55","70","65","55","20"
"21","4_2_2","140","205","80","60","190","20"
"45","4_2_3","130","190","75","55","190","20"
"68","4_2_4","130","180","60","70","170","20"
"1","5_1_1","130","135","50","80","130","20"
"31","5_1_2","165","65","65","100","60","20"
"52","5_1_3","155","70","75","80","70","20"
"70","5_1_4","150","35","70","80","35","20"
"16","5_2_1","135","240","60","75","190","20"
"20","5_2_2","180","255","55","125","250","20"
"53","5_2_3","170","220","70","100","220","20"
"61","5_2_4","160","150","45","115","150","20"
"14","6_1_1","160","70","80","80","60","20"
"30","6_1_2","200","50","80","120","50","20"
"55","6_1_3","185","50","60","125","50","20"
"57","6_1_4","185","40","65","120","40","20"
"34","6_2_2","200","240","90","110","240","20"
"50","6_2_3","180","225","70","110","225","20"
"8","7_1_1","220","40","50","170","40","20"
"24","7_1_2","245","65","65","180","55","20"
"42","7_1_3","230","50","55","175","50","20"
"66","7_1_4","230","50","70","160","50","20"
"26","7_2_2","235","260","75","160","260","20"
"54","7_2_3","215","170","75","140","170","20"
"73","7_2_4","235","170","55","180","170","20"
"25","8_1_2","280","35","50","230","30","20"
"48","8_1_3","280","65","80","200","65","20"
"65","8_1_4","310","30","60","250","30","20"
"12","8_2_1","250","170","45","205","155","20"
"27","8_2_2","270","160","40","230","160","20"
"39","8_2_3","290","210","60","230","210","20"
"75","8_2_4","280","195","70","210","195","20"
"10","Drift_Control_2_1","65","0","35","30","0","20"
"23","Drift_Control_2_2","80","0","55","25","0","20"
"46","Drift_Control_2_3","180","0","60","120","0","20"
"64","Drift_Control_2_4","155","0","55","100","0","20"
"4","High_Control_2_1","0","295","0","0","270","20"
"28","High_Control_2_2","0","195","0","0","60","20"
"41","High_Control_2_3","0","155","0","0","85","20"
"62","High_Control_2_4","0","195","0","0","140","20"
"7","Low_Control_2_1","0","135","0","0","90","20"
"18","Low_Control_2_2","0","55","0","0","20","20"
"56","Low_Control_2_3","0","80","0","0","25","20"
"60","Low_Control_2_4","0","60","0","0","2","20"
"15","Urchin_Control_2_1","0","0","0","0","0","20"
"29","Urchin_Control_2_2","0","0","0","0","0","20"
"44","Urchin_Control_2_3","0","0","0","0","0","20"
"58","Urchin_Control_2_4","0","0","0","0","0","20"
