"model","elpd_diff","se_diff","elpd_loo","se_elpd","p_loo","stacking_weight","pseudobma_weight"
"vanLeeuwen_q",0,0,-2450.76830106236,64.9697981686203,20.2594919430692,2.59146284978709e-05,0.308212935204301
"vanLeeuwen_wq",-0.934365979327112,2.54852067693514,-2451.70266704169,64.6614273217152,19.0834226397753,0.334941191067722,0.317706842279031
"Logistic",-0.954506581574977,2.80198078346976,-2451.72280764394,65.9435929980388,22.7470230384923,0.635603368149127,0.374080222511559
"LogisticClearance",-58.4551471171341,9.90647905046169,-2509.2234481795,59.0312704079267,17.6282944629141,0.0294295261546533,5.109247255707e-12
